Order_ID,Order_Date,Region,Product,Customer,Sales,Profit
1,2024-12-23,South,Tablet,Customer E,9744,2223
2,2024-07-11,North,Mobile,Customer B,1419,2269
3,2024-06-25,South,Keyboard,Customer A,7844,127
4,2024-01-05,West,Laptop,Customer B,4056,167
5,2024-04-23,North,Laptop,Customer E,5566,618
6,2024-09-05,North,Mobile,Customer A,1263,1922
7,2024-06-10,North,Keyboard,Customer C,3309,955
8,2024-09-17,West,Monitor,Customer B,2482,1501
9,2024-04-04,South,Keyboard,Customer A,579,2919
10,2024-11-01,North,Monitor,Customer D,9351,1061
11,2024-01-09,East,Tablet,Customer A,9674,1900
12,2024-08-27,South,Mobile,Customer D,2979,2436
13,2024-03-11,East,Tablet,Customer D,834,2434
14,2024-10-11,East,Tablet,Customer E,3649,1096
15,2024-03-26,West,Mobile,Customer D,5005,683
16,2024-12-01,North,Laptop,Customer E,3554,1328
17,2024-02-05,East,Laptop,Customer A,8416,2313
18,2024-05-27,East,Laptop,Customer C,8365,1266
19,2024-01-18,North,Tablet,Customer C,9661,934
20,2024-09-11,South,Laptop,Customer E,4159,416
21,2024-07-02,West,Monitor,Customer D,6475,2911
22,2024-06-09,West,Keyboard,Customer C,6787,1216
23,2024-06-19,West,Monitor,Customer D,2333,1548
24,2024-05-31,West,Keyboard,Customer B,8328,1253
25,2024-03-17,West,Monitor,Customer D,9897,2804
26,2024-12-02,South,Laptop,Customer C,2277,2372
27,2024-10-19,East,Keyboard,Customer E,9452,2097
28,2024-02-17,North,Monitor,Customer A,1539,2060
29,2024-08-15,North,Monitor,Customer C,2008,843
30,2024-07-25,North,Tablet,Customer B,3753,2738
31,2024-09-28,South,Laptop,Customer C,3022,1446
32,2024-06-30,East,Mobile,Customer B,6810,1967
33,2024-12-14,East,Monitor,Customer E,1843,2984
34,2024-11-13,North,Tablet,Customer D,7265,836
35,2024-11-10,South,Tablet,Customer B,4723,615
36,2024-12-28,North,Keyboard,Customer B,3439,2177
37,2024-04-16,East,Laptop,Customer D,9818,2016
38,2024-07-21,West,Monitor,Customer C,1655,114
39,2024-04-06,North,Laptop,Customer A,9753,2389
40,2024-02-19,West,Mobile,Customer D,5959,899
41,2024-11-26,South,Keyboard,Customer E,5101,214
42,2024-11-23,South,Tablet,Customer A,4599,864
43,2024-03-21,East,Tablet,Customer D,3732,1722
44,2024-04-20,South,Mobile,Customer B,2044,2587
45,2024-04-24,East,Keyboard,Customer E,4157,1196
46,2024-03-13,South,Monitor,Customer E,4392,567
47,2024-06-15,South,Mobile,Customer A,1348,2784
48,2024-05-03,North,Tablet,Customer D,6528,757
49,2024-04-26,East,Monitor,Customer C,709,943
50,2024-11-02,East,Laptop,Customer E,9272,1843
51,2024-11-28,East,Keyboard,Customer E,3065,2787
52,2024-04-02,East,Laptop,Customer B,3720,1377
53,2024-02-24,South,Mobile,Customer E,8631,158
